bridge_tag,questions,construct,crosswalk_status,primary_outcome,secondary_outcome,outcome_confidence,ambiguity,gated_only,reason
"ACADEMIC_BEHAVIOR",475,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
"ACADEMIC_CAREER",225,"",REVIEW_REQUIRED,"career_clarity","learning_effectiveness",0.25,0.5,false,"REVIEW candidates → 2 model(s); primary career_clarity"
"ACADEMIC_COGNITIVE",618,"",REVIEW_REQUIRED,"learning_effectiveness","decision_quality",0.333,0.333,false,"REVIEW candidates → 2 model(s); primary learning_effectiveness"
"ACADEMIC_COUNSELLING",40,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
"ACADEMIC_DECISION",25,"",REVIEW_REQUIRED,"learning_effectiveness","decision_quality",0.333,0.333,false,"REVIEW candidates → 2 model(s); primary learning_effectiveness"
"ACADEMIC_EQUITY",50,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
"ACADEMIC_GROWTH",125,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
"ACADEMIC_IDENTITY",225,"",REVIEW_REQUIRED,"confidence_stability","learning_effectiveness",0.25,0.5,false,"REVIEW candidates → 2 model(s); primary confidence_stability"
"ACADEMIC_OPERATIONS",38,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
"ACADEMIC_PERFORMANCE",225,"EXAM_PERFORMANCE",HIGH_CONFIDENCE,"exam_readiness","",0.95,0,true,"HIGH construct EXAM_PERFORMANCE → 1 model(s); primary exam_readiness"
"ACADEMIC_PLANNING",50,"",REVIEW_REQUIRED,"learning_effectiveness","decision_quality",0.333,0.333,false,"REVIEW candidates → 2 model(s); primary learning_effectiveness"
"ACADEMIC_READINESS",50,"EXAM_READINESS",HIGH_CONFIDENCE,"exam_readiness","",0.95,0,true,"HIGH construct EXAM_READINESS → 1 model(s); primary exam_readiness"
"ACADEMIC_REFLECTION",25,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
"ACADEMIC_RISK",100,"LEARNING_APPROACH",HIGH_CONFIDENCE,"learning_effectiveness","",0.85,0,false,"HIGH construct LEARNING_APPROACH → 1 model(s); primary learning_effectiveness"
