family_name,concern_count,primary_concern_ids
Emotional Family,185,CONCERN_ACA_1019|CONCERN_ACA_1136|CONCERN_ACA_1168|CONCERN_ACA_1731|CONCERN_ADA_1300|CONCERN_ADA_319|CONCERN_ADJ_5|CONCERN_ASP_1505|CONCERN_CAR_1005|CONCERN_CAR_807
Learning Family 3,31,CONCERN_COL_2|CONCERN_COM_1692|CONCERN_EMO_350|CONCERN_FOU_2117|CONCERN_INT_2253|CONCERN_LIF_2144|CONCERN_MOT_2161|CONCERN_SEL_2265|CONCERN_THI_1980|CONCERN_IND_1458
Decision Family,22,CONCERN_ACA_2439|CONCERN_ADA_570|CONCERN_CAR_212|CONCERN_CAR_770|CONCERN_CON_2274|CONCERN_CON_72|CONCERN_EXA_1813|CONCERN_EXA_1965|CONCERN_EXA_37|CONCERN_EXP_1513
Professional Family,15,CONCERN_DIS_369|CONCERN_DIS_555|CONCERN_EMO_1106|CONCERN_EXA_66|CONCERN_WOR_665|CONCERN_ACA_451|CONCERN_COM_433|CONCERN_COM_671|CONCERN_DIS_22|CONCERN_EMP_395
Career Family,13,CONCERN_ACA_1836|CONCERN_EXA_1833|CONCERN_THI_1966|CONCERN_THI_95|CONCERN_CAR_1383|CONCERN_CAR_1566|CONCERN_CAR_208|CONCERN_CAR_222|CONCERN_CON_448|CONCERN_CON_516
Participation Family,12,CONCERN_ACA_2129|CONCERN_ACA_788|CONCERN_ORG_1166|CONCERN_ORG_1225|CONCERN_WOR_1116|CONCERN_COL_829|CONCERN_EMO_1202|CONCERN_MOT_1190|CONCERN_ASS_1272|CONCERN_COM_1955
Time Family,11,CONCERN_COM_1801|CONCERN_CON_1942|CONCERN_DIS_1659|CONCERN_DIS_2120|CONCERN_ACA_315|CONCERN_CAR_368|CONCERN_EMP_3|CONCERN_STU_1356|CONCERN_CON_2282|CONCERN_CON_2462
Expectations Family,11,CONCERN_CAR_244|CONCERN_COM_367|CONCERN_COM_725|CONCERN_CON_216|CONCERN_CON_236|CONCERN_MOT_2464|CONCERN_SOC_1046|CONCERN_THI_2008|CONCERN_MOT_978|CONCERN_EMO_454
Ownership Family,11,CONCERN_CAR_32|CONCERN_COG_1525|CONCERN_CON_300|CONCERN_DEC_1436|CONCERN_EMO_1638|CONCERN_GRO_1509|CONCERN_SEL_1541|CONCERN_SEL_1545|CONCERN_SEL_1630|CONCERN_SEL_1528
Learning Family 7,11,CONCERN_CON_307|CONCERN_DIS_1680|CONCERN_DIS_2093|CONCERN_EMO_1428|CONCERN_INT_1723|CONCERN_LEA_1603|CONCERN_LIF_1454|CONCERN_STU_1374|CONCERN_FAC_1268|CONCERN_HOL_1281
